SA2_MAINCODE_2016,GCCSA_NAME_2016,SA2_NAME_2016,STATE_NAME_2016,ADRESS,LAT,LNG
301011001,Greater Brisbane,Alexandra Hills,Queensland,"Alexandra Hills, Queensland",-27.5234744,153.2258271
301011002,Greater Brisbane,Belmont - Gumdale,Queensland,"Belmont - Gumdale, Queensland, AU",-27.4946874,153.1526664
301011003,Greater Brisbane,Birkdale,Queensland,"Birkdale, Queensland",-27.4935931,153.2137869
301011004,Greater Brisbane,Capalaba,Queensland,"Capalaba, Queensland",-27.5354669,153.1971252
301011005,Greater Brisbane,Thorneside,Queensland,"Thorneside, Queensland",-27.4835626,153.2010293
301011006,Greater Brisbane,Wellington Point,Queensland,"Wellington Point, Queensland",-27.4865793,153.238531
301021007,Greater Brisbane,Cleveland,Queensland,"Cleveland, Queensland",-27.5251556,153.2792833
301021008,Greater Brisbane,Ormiston,Queensland,"Ormiston, Queensland",-27.5120736,153.2566502
301021009,Greater Brisbane,Redland Bay,Queensland,"Redland Bay, Queensland",-27.6124586,153.3030618
301021011,Greater Brisbane,Sheldon - Mount Cotton,Queensland,"Sheldon - Mount Cotton, Queensland",-27.575608,153.1985315
301021012,Greater Brisbane,Thornlands,Queensland,"Thornlands, Queensland",-27.5634341,153.2699093
301021013,Greater Brisbane,Victoria Point,Queensland,"Victoria Point, Queensland",-27.5879419,153.303966
301021527,Greater Brisbane,Redland Islands,Queensland,"Redland Islands, Queensland",-27.6261767,153.3770931
301031014,Greater Brisbane,Brisbane Port - Lytton,Queensland,"Brisbane Port - Lytton, Queensland",-27.4254125,153.1530486
301031015,Greater Brisbane,Manly - Lota,Queensland,"Manly - Lota, Queensland",-27.4549396,153.1837717
301031016,Greater Brisbane,Manly West,Queensland,"Manly West, Queensland",-27.4691609,153.169894
301031017,Greater Brisbane,Murarrie,Queensland,"Murarrie, Queensland",-27.4568601,153.0985626
301031018,Greater Brisbane,Tingalpa,Queensland,"Tingalpa, Queensland",-27.474896,153.129403
301031019,Greater Brisbane,Wakerley,Queensland,"Wakerley, Queensland",-27.4831003,153.1506396
301031020,Greater Brisbane,Wynnum,Queensland,"Wynnum, Queensland",-27.443694,153.173618
301031021,Greater Brisbane,Wynnum West - Hemmant,Queensland,"Wynnum West - Hemmant, Queensland",-27.4570812,153.1532713
302011022,Greater Brisbane,Bald Hills,Queensland,"Bald Hills, Queensland",-27.3175935,153.010807
302011023,Greater Brisbane,Bridgeman Downs,Queensland,"Bridgeman Downs, Queensland",-27.355,152.9942
302011024,Greater Brisbane,Carseldine,Queensland,"Carseldine, Queensland",-27.3461724,153.0138992
302011025,Greater Brisbane,Everton Park,Queensland,"Everton Park, Queensland",-27.4006228,152.9864871
302011026,Greater Brisbane,McDowall,Queensland,"McDowall, Queensland",-27.3795154,152.9887279
302021027,Greater Brisbane,Aspley,Queensland,"Aspley, Queensland",-27.3639,153.0157
302021028,Greater Brisbane,Chermside,Queensland,"Chermside, Queensland",-27.3858322,153.0310009
302021029,Greater Brisbane,Chermside West,Queensland,"Chermside West, Queensland",-27.3841107,153.0125936
302021030,Greater Brisbane,Geebung,Queensland,"Geebung, Queensland",-27.375918,153.046595
302021031,Greater Brisbane,Kedron - Gordon Park,Queensland,"Kedron - Gordon Park, Queensland",-27.4149451,153.0268939
302021032,Greater Brisbane,Stafford,Queensland,"Stafford, Queensland",-27.4104894,153.0168862
302021033,Greater Brisbane,Stafford Heights,Queensland,"Stafford Heights, Queensland",-27.396628,153.01037
302021034,Greater Brisbane,Wavell Heights,Queensland,"Wavell Heights, Queensland",-27.3949683,153.0414172
302031035,Greater Brisbane,Boondall,Queensland,"Boondall, Queensland",-27.3533586,153.0606302
302031036,Greater Brisbane,Brisbane Airport,Queensland,"Brisbane Airport, Queensland",-27.3972305,153.1072444
302031037,Greater Brisbane,Eagle Farm - Pinkenba,Queensland,"Eagle Farm - Pinkenba, Queensland",-27.4240364,153.118593
302031038,Greater Brisbane,Northgate - Virginia,Queensland,"Northgate - Virginia, Queensland",-27.39,153.066
302031039,Greater Brisbane,Nudgee - Banyo,Queensland,"Nudgee - Banyo, Queensland",-27.36969,153.0856081
302031040,Greater Brisbane,Nundah,Queensland,"Nundah, Queensland",-27.4034491,153.0604371
302041041,Greater Brisbane,Bracken Ridge,Queensland,"Bracken Ridge, Queensland",-27.3237467,153.0266071
302041042,Greater Brisbane,Brighton (Qld),Queensland,"Brighton (Qld), Queensland",-27.2944002,153.0509868
302041043,Greater Brisbane,Deagon,Queensland,"Deagon, Queensland",-27.3270681,153.061884
302041044,Greater Brisbane,Sandgate - Shorncliffe,Queensland,"Sandgate - Shorncliffe, Queensland",-27.3254705,153.0806919
302041045,Greater Brisbane,Taigum - Fitzgibbon,Queensland,"Taigum - Fitzgibbon, Queensland",-27.3420318,153.047836
302041046,Greater Brisbane,Zillmere,Queensland,"Zillmere, Queensland",-27.359467,153.0382229
303011047,Greater Brisbane,Camp Hill,Queensland,"Camp Hill, Queensland",-27.4982559,153.076164
303011048,Greater Brisbane,Cannon Hill,Queensland,"Cannon Hill, Queensland",-27.4711751,153.0960423
303011049,Greater Brisbane,Carina,Queensland,"Carina, Queensland",-27.4833383,153.0970062
303011050,Greater Brisbane,Carina Heights,Queensland,"Carina Heights, Queensland",-27.5041819,153.0928368
303011051,Greater Brisbane,Carindale,Queensland,"Carindale, Queensland",-27.5198367,153.1125044
303021052,Greater Brisbane,Annerley,Queensland,"Annerley, Queensland",-27.5138962,153.0309346
303021053,Greater Brisbane,Coorparoo,Queensland,"Coorparoo, Queensland",-27.4945318,153.0592549
303021054,Greater Brisbane,Fairfield - Dutton Park,Queensland,"Fairfield - Dutton Park, Queensland",-27.5003121,153.0264744
303021055,Greater Brisbane,Greenslopes,Queensland,"Greenslopes, Queensland",-27.5080911,153.0513859
303021056,Greater Brisbane,Holland Park,Queensland,"Holland Park, Queensland",-27.5184145,153.0674032
303021057,Greater Brisbane,Holland Park West,Queensland,"Holland Park West, Queensland",-27.5228673,153.0603204
303021058,Greater Brisbane,Woolloongabba,Queensland,"Woolloongabba, Queensland",-27.486534,153.035968
303021059,Greater Brisbane,Yeronga,Queensland,"Yeronga, Queensland",-27.5121403,153.014764
303031060,Greater Brisbane,Eight Mile Plains,Queensland,"Eight Mile Plains, Queensland",-27.5758579,153.0921619
303031061,Greater Brisbane,Macgregor (Qld),Queensland,"Macgregor (Qld), Queensland",-27.564811,153.0750241
303031062,Greater Brisbane,Mansfield (Qld),Queensland,"Mansfield (Qld), Queensland",-27.5332869,153.0985659
303031063,Greater Brisbane,Mount Gravatt,Queensland,"Mount Gravatt, Queensland",-27.5364014,153.0671385
303031064,Greater Brisbane,Rochedale - Burbank,Queensland,"Rochedale - Burbank, Queensland",-27.56924,153.1164813
303031065,Greater Brisbane,Upper Mount Gravatt,Queensland,"Upper Mount Gravatt, Queensland",-27.5546971,153.0799661
303031066,Greater Brisbane,Wishart,Queensland,"Wishart, Queensland",-27.5498163,153.1067835
303041067,Greater Brisbane,Coopers Plains,Queensland,"Coopers Plains, Queensland",-27.5704325,153.0381708
303041068,Greater Brisbane,Moorooka,Queensland,"Moorooka, Queensland",-27.5328573,153.0249414
303041069,Greater Brisbane,Robertson,Queensland,"Robertson, Queensland",-27.5657,153.0572
303041070,Greater Brisbane,Salisbury - Nathan,Queensland,"Salisbury - Nathan, Queensland",-27.5434365,153.0426884
303041071,Greater Brisbane,Tarragindi,Queensland,"Tarragindi, Queensland",-27.5323691,153.0449175
303051072,Greater Brisbane,Algester,Queensland,"Algester, Queensland",-27.6116413,153.0358129
303051073,Greater Brisbane,Calamvale - Stretton,Queensland,"Calamvale - Stretton, Queensland",-27.6148449,153.0669558
303051074,Greater Brisbane,Pallara - Willawong,Queensland,"Pallara - Willawong, Queensland",-27.6074489,153.013865
303051075,Greater Brisbane,Parkinson - Drewvale,Queensland,"Parkinson - Drewvale, Queensland",-27.6535958,153.0519489
303051076,Greater Brisbane,Rocklea - Acacia Ridge,Queensland,"Rocklea - Acacia Ridge, Queensland",-27.5873761,153.0270551
303061077,Greater Brisbane,Kuraby,Queensland,"Kuraby, Queensland",-27.6063115,153.0941441
303061078,Greater Brisbane,Runcorn,Queensland,"Runcorn, Queensland",-27.5974724,153.0771548
303061079,Greater Brisbane,Sunnybank,Queensland,"Sunnybank, Queensland",-27.5792623,153.0627242
303061080,Greater Brisbane,Sunnybank Hills,Queensland,"Sunnybank Hills, Queensland",-27.5994583,153.058524
304011081,Greater Brisbane,Jindalee - Mount Ommaney,Queensland,"Jindalee - Mount Ommaney, Queensland",-27.5452429,152.9319813
304011082,Greater Brisbane,Middle Park - Jamboree Heights,Queensland,"Middle Park - Jamboree Heights, Queensland",-27.5563736,152.9329105
304011083,Greater Brisbane,Riverhills,Queensland,"Riverhills, Queensland",-27.5604,152.909
304011084,Greater Brisbane,Seventeen Mile Rocks - Sinnamon Park,Queensland,"Seventeen Mile Rocks - Sinnamon Park, Queensland",-27.5443462,152.9562879
304011085,Greater Brisbane,Westlake,Queensland,"Westlake, Queensland",-27.5447405,152.917556
304021086,Greater Brisbane,Bellbowrie - Moggill,Queensland,"Bellbowrie - Moggill, Queensland",-27.5619404,152.8868313
304021087,Greater Brisbane,Brookfield - Kenmore Hills,Queensland,"Brookfield - Kenmore Hills, Queensland",-27.5017369,152.9197749
304021088,Greater Brisbane,Chapel Hill,Queensland,"Chapel Hill, Queensland",-27.494799,152.9519831
304021089,Greater Brisbane,Fig Tree Pocket,Queensland,"Fig Tree Pocket, Queensland",-27.5295584,152.9616315
304021090,Greater Brisbane,Kenmore,Queensland,"Kenmore, Queensland",-27.5102833,152.9377589
304021091,Greater Brisbane,Pinjarra Hills - Pullenvale,Queensland,"Pinjarra Hills - Pullenvale, Queensland",-27.5390861,152.8975045
304031092,Greater Brisbane,Chelmer - Graceville,Queensland,"Chelmer - Graceville, Queensland",-27.5217106,152.9797397
304031093,Greater Brisbane,Corinda,Queensland,"Corinda, Queensland",-27.5436211,152.9809401
304031094,Greater Brisbane,Indooroopilly,Queensland,"Indooroopilly, Queensland",-27.5020067,152.9758891
304031095,Greater Brisbane,Sherwood,Queensland,"Sherwood, Queensland",-27.5323639,152.9829502
304031096,Greater Brisbane,St Lucia,Queensland,"St Lucia, Queensland",-27.5020948,152.9968212
304031097,Greater Brisbane,Taringa,Queensland,"Taringa, Queensland",-27.4918195,152.9806107
304041098,Greater Brisbane,Enoggera,Queensland,"Enoggera, Queensland",-27.4223573,152.9907522
304041099,Greater Brisbane,Enoggera Reservoir,Queensland,"Enoggera Reservoir, Queensland",-27.4299223,152.8806036
304041100,Greater Brisbane,Keperra,Queensland,"Keperra, Queensland",-27.4145744,152.9489812
304041101,Greater Brisbane,Mitchelton,Queensland,"Mitchelton, Queensland",-27.4133382,152.9740677
304041102,Greater Brisbane,Mount Coot-tha,Queensland,"Mount Coot-tha, Queensland",-27.475767,152.9764734
304041103,Greater Brisbane,The Gap,Queensland,"The Gap, Queensland",-27.4422869,152.9399804
304041104,Greater Brisbane,Upper Kedron - Ferny Grove,Queensland,"Upper Kedron - Ferny Grove, Queensland",-27.4048267,152.9277878
305011105,Greater Brisbane,Brisbane City,Queensland,"Brisbane City, Queensland",-27.4704528,153.0260341
